81.0,503.0,77.1390736424,5250.0,0.0009643349,22.22,0.15,4
81.0,414.0,77.337973478,5250.0,0.0009668214,22.22,0.15,4
82.0,83.0,133.6244058585,1300.0,0.0033409442,11.11,0.15,4
82.0,84.0,85.1247935051,1300.0,0.0021283327,11.11,0.15,4
82.0,414.0,140.39582077,2800.0,0.0023394625,16.67,0.15,4
83.0,225.0,79.8759266551,5250.0,0.0009985489,22.22,0.15,4
83.0,226.0,310.4373223559,1300.0,0.0077617092,11.11,0.15,4
83.0,224.0,78.4641115209,5250.0,0.0009808995,22.22,0.15,4
84.0,85.0,120.6545270122,2800.0,0.0020105067,16.67,0.15,4
84.0,225.0,153.4262847562,1300.0,0.0038360407,11.11,0.15,4
85.0,416.0,274.0144093992,1300.0,0.0068510453,11.11,0.15,4
85.0,414.0,82.0337474254,5250.0,0.0010255244,22.22,0.15,4
85.0,508.0,76.8933945815,5250.0,0.0009612636,22.22,0.15,4
86.0,87.0,178.7505330522,1300.0,0.0044692102,11.11,0.15,4
86.0,88.0,82.1499277188,1300.0,0.0020539536,11.11,0.15,4
86.0,508.0,95.6189226341,5250.0,0.0011953561,22.22,0.15,4
87.0,227.0,309.9217993856,1300.0,0.0077488199,11.11,0.15,4
87.0,228.0,78.2732816718,7000.0,0.0009785139,22.22,0.15,4
87.0,225.0,77.9217402214,5250.0,0.0009741192,22.22,0.15,4
88.0,89.0,74.3597364626,1300.0,0.0018591793,11.11,0.15,4
88.0,90.0,112.6573797486,1300.0,0.0028167162,11.11,0.15,4
88.0,228.0,200.1576725686,1300.0,0.0050044423,11.11,0.15,4
89.0,507.0,272.7774074221,1300.0,0.0068201172,11.11,0.15,4
89.0,508.0,78.080562279,7000.0,0.0009761046,22.22,0.15,4
89.0,90.0,109.956492349,5250.0,0.0013745936,22.22,0.15,4
90.0,91.0,248.1090153259,7000.0,0.0031016729,22.22,0.15,4
90.0,510.0,299.4962161565,7000.0,0.0037440771,22.22,0.15,4
90.0,232.0,110.7040569328,7000.0,0.0013839391,22.22,0.15,4
91.0,229.0,85.7218118519,7000.0,0.0010716298,22.22,0.15,4
91.0,230.0,312.0182084691,7000.0,0.0039006177,22.22,0.15,4
91.0,228.0,84.1959641925,7000.0,0.0010525548,22.22,0.15,4
92.0,93.0,79.9363428599,7000.0,0.0009993042,22.22,0.15,4
92.0,94.0,274.5991960363,1300.0,0.0068656665,11.11,0.15,4
92.0,234.0,272.1386084546,1300.0,0.0068041456,11.11,0.15,4
92.0,513.0,80.1420502041,8750.0,0.0010018758,22.22,0.15,4
93.0,232.0,79.7408563879,7000.0,0.0009968604,22.22,0.15,4
93.0,231.0,274.3011629614,1300.0,0.0068582149,11.11,0.15,4
93.0,512.0,272.7197157564,1300.0,0.0068186748,11.11,0.15,4
94.0,388.0,79.6900124856,5250.0,0.0009962248,22.22,0.15,4
94.0,389.0,273.7408108618,1300.0,0.0068442047,11.11,0.15,4
94.0,512.0,79.6625534488,2800.0,0.0013274437,16.67,0.15,4
95.0,96.0,249.6357470245,1300.0,0.0062415178,11.11,0.15,4
95.0,513.0,104.6589209578,5250.0,0.0013083673,22.22,0.15,4
95.0,97.0,105.8298257532,1300.0,0.0026460102,11.11,0.15,4
95.0,98.0,103.3387327858,5250.0,0.0012918633,22.22,0.15,4
95.0,237.0,298.340533701,1300.0,0.0074592593,11.11,0.15,4
